text
Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG,Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG
Não ironicamente eu gosto mais do ifb do que qualquer outra escola que eu tenha estudado,Não ironicamente eu gosto mais do ifb do que qualquer outra escola que eu tenha estudado
saudade almoço do ifb,saudade almoço do ifb
O Instituto oferece reforço escolar  com disciplinar militar  além de atividades esportivas e de musicalização para crianças e adolescentes.  Conta com a parceria das Forças Armadas  da UFMS e do IFMS e apoio de empresários.  Agora  está reivindicando também apoio do poder público.,O Instituto oferece reforço escolar  com disciplinar militar  além de atividades esportivas e de musicalização para crianças e adolescentes.  Conta com a parceria das Forças Armadas  da UFMS e do IFMS e apoio de empresários.  Agora  está reivindicando também apoio do poder público.
Estiver hoje dia 07 / 07 como Representante Geral dos Estudantes do IFB e Militante do PT na inauguração do Centro de Formação Tecnológica (CFT) do Instituto Federal de Brasília no IFB Campus Estrutural que contou com a participação da Reitora Luciana  do IFB e do Diretor Geral.  https://t. co/Os7JCsWUKy,Estiver hoje dia 07 / 07 como Representante Geral dos Estudantes do IFB e Militante do PT na inauguração do Centro de Formação Tecnológica (CFT) do Instituto Federal de Brasília no IFB Campus Estrutural que contou com a participação da Reitora Luciana  do IFB e do Diretor Geral.  https://t. co/Os7JCsWUKy
Foto com várias autoridades na inauguração do Centro de Formação Tecnológica - CFT que contou com a Presença da Reitora do IFB a professora @massukado e do Secretário de Educação Profissional e Tecnologia o professor @Getulio_Marques e do Embaixador da China Wang Zhiwei.  https://t. co/SdskgrQssK,Foto com várias autoridades na inauguração do Centro de Formação Tecnológica - CFT que contou com a Presença da Reitora do IFB a professora @massukado e do Secretário de Educação Profissional e Tecnologia o professor @Getulio_Marques e do Embaixador da China Wang Zhiwei.  https://t. co/SdskgrQssK
Fotinha com a Militância do @ptbrasilia e da @kizomba_br presente na Inauguração do Centro de Formação Tecnológica  - CFT do IFB Campus Estrutural.  https://t. co/qoW5T8qXs6,Fotinha com a Militância do @ptbrasilia e da @kizomba_br presente na Inauguração do Centro de Formação Tecnológica  - CFT do IFB Campus Estrutural.  https://t. co/qoW5T8qXs6
a julia saindo a pé do ifb pra ir pra unb só pra ir num hh,a julia saindo a pé do ifb pra ir pra unb só pra ir num hh
Fotinha com meu grande amigo Felipe do Ministério da Educação - MEC na inauguração do Centro de Formação Tecnológica - CFT do IFB Campus Estrutural nesta tarde do dia 07 de julho de 2023.  https://t. co/SvdZQAtfus,Fotinha com meu grande amigo Felipe do Ministério da Educação - MEC na inauguração do Centro de Formação Tecnológica - CFT do IFB Campus Estrutural nesta tarde do dia 07 de julho de 2023.  https://t. co/SvdZQAtfus
@rebkkkj estudante de eventos do IFB campus Brasília😘,@rebkkkj estudante de eventos do IFB campus Brasília😘
Fotinha com o Nosso Deputado Distrital @maxmacieldf na Festa Junina do IFB Campus Riacho Fundo.  https://t. co/9FOv48eljp,Fotinha com o Nosso Deputado Distrital @maxmacieldf na Festa Junina do IFB Campus Riacho Fundo.  https://t. co/9FOv48eljp
Muito bom rever os professores do ifb,Muito bom rever os professores do ifb
Participando como Representante Geral dos Estudantes do IFB e Militante do PT / DF na 42ª Reunião Ordinária do Conselho de Ensino  Pesquisa e Extensão – CEPE  do Instituto Federal de Brasília – IFB onde sou membro Titular Discente dos Estudantes a Reunião ser deu hoje dia 10/07.  https://t. co/AzwFVq3kKA,Participando como Representante Geral dos Estudantes do IFB e Militante do PT / DF na 42ª Reunião Ordinária do Conselho de Ensino  Pesquisa e Extensão – CEPE  do Instituto Federal de Brasília – IFB onde sou membro Titular Discente dos Estudantes a Reunião ser deu hoje dia 10/07.  https://t. co/AzwFVq3kKA
ônibus corumbá - Ladario do ifms,ônibus corumbá - Ladario do ifms
@vitmrtni Cara eu queria MT ir tomar uma cerveja naquele boteco do Goku do lado do ifms tá ligada?,@vitmrtni Cara eu queria MT ir tomar uma cerveja naquele boteco do Goku do lado do ifms tá ligada?
pq eh especificado no allianz q a carteirinha de estudante tem q ter a foto (ou a coisa virtual lá etc) mas o portal do estudante do ifb não tem a minha foto e eu não sei comk botaKKKKKKKKK vou me m,pq eh especificado no allianz q a carteirinha de estudante tem q ter a foto (ou a coisa virtual lá etc) mas o portal do estudante do ifb não tem a minha foto e eu não sei comk botaKKKKKKKKK vou me m
Mandei o currículo  tou apreensivo pq na descrição pedia experiência com venda de medicamentos  coisa que eu não tenho.  Agora é eu e meu cursinho de comunicação e vendas do IFMS contra o mundo. . .  https://t. co/QLZ1Dy1qJv,Mandei o currículo  tou apreensivo pq na descrição pedia experiência com venda de medicamentos  coisa que eu não tenho.  Agora é eu e meu cursinho de comunicação e vendas do IFMS contra o mundo. . .  https://t. co/QLZ1Dy1qJv
esse uniforme do IFB é muito lindo  pqp,esse uniforme do IFB é muito lindo  pqp
Eu não posso ver nada do IFB que eu morro de sdds  queria tanto ter vivido meu ensino médio direito 🥹,Eu não posso ver nada do IFB que eu morro de sdds  queria tanto ter vivido meu ensino médio direito 🥹
@choquei @eixopolitico metade do IFB vai de base,@choquei @eixopolitico metade do IFB vai de base
Estiver hoje como Representante Geral dos Estudantes do IFB e também estava presente os Representantes dos Estudantes do IFPB no 59° Congresso da UNE - União Nacional dos Estudantes realizado entre os dias 12 a 16 de julho de 2023 no Ginásio Nilson Nelson  e também na UNB.  https://t. co/bwJ7KRBfhY,Estiver hoje como Representante Geral dos Estudantes do IFB e também estava presente os Representantes dos Estudantes do IFPB no 59° Congresso da UNE - União Nacional dos Estudantes realizado entre os dias 12 a 16 de julho de 2023 no Ginásio Nilson Nelson  e também na UNB.  https://t. co/bwJ7KRBfhY
👩‍🏫👨‍🏫 Se você é docente da área de Inglês  chegou sua hora de fazer parte do IFB  hein? 💚❤️ As inscrições seguem até 18 de julho.   👉 Confira o edital: https://t. co/CrtgyzMYwe https://t. co/Zdzc3nEkFy,👩‍🏫👨‍🏫 Se você é docente da área de Inglês  chegou sua hora de fazer parte do IFB  hein? 💚❤️ As inscrições seguem até 18 de julho.   👉 Confira o edital: https://t. co/CrtgyzMYwe https://t. co/Zdzc3nEkFy
