x,y_predito,sentimento
 não que eu goste de fofoca  mas tu tá sabendo o que são as fake new que estão rolando pra tentar melar a candidatura do Professor Carlos a reitor do IFMS?,0,negative
a julia saindo a pé do ifb pra ir pra unb só pra ir num hh,0,negative
Mandei o currículo  tou apreensivo pq na descrição pedia experiência com venda de medicamentos  coisa que eu não tenho.  Agora é eu e meu cursinho de comunicação e vendas do IFMS contra o mundo. . .   co/QLZDyqJv,0,negative
Eu não posso ver nada do IFB que eu morro de sdds  queria tanto ter vivido meu ensino médio direito 🥹,0,negative
vagabunda&amp;morta de fome dupla de cachorras pedintes do ifmg,0,negative
"     O rei do argumento: ""Chupa! Kkkk"".  QI de ameba!",0,negative
alo eh do centro de valorização a vida? to com a faca no pescoço,0,negative
  Talvez esteja mais que muitos do que aqui escrevem  talvez por isso entenda que esta proibição seja prejudicial aos ucranianos  mesmo em tempos de guerra a democracia tem de imperar  a minha preocupação é mesmo com os cidadãos  eles é que sofrem com as más decisões dos políticos,0,negative
A primeira ordem do Lula foi fechar escolas  a segunda será queimar livros!   ,0,negative
 Não é facil Mas meu único problema ta sendo o ape  pq por mais q eu goste do IFSC  n da pra morar lá KKKKKKKK,0,negative
tiraro o insta do ifsc das mãos do castro deu nisso,0,negative
 Bah pior q vou ter q concordar  esse beijo do vídeo parece sla artificial,0,negative
Tá a vontade de narrar Digimon é muito grande,0,negative
adoro achar e stalkear o twitter do pessoal do ifc,0,negative
Mds imagina se eu n tivesse decidido fazer a prova do ifsc em  literalmente meu evento canônico,0,negative
 Professor mais fraco do ifsul:,0,negative
  Desde o primeiro semestre do ifsc  a  tá de prova  ele só senta em objetos inanimados,0,negative
 Minha única reclamação é que a camisinha do posto é tamanho único e isso me impede de usar pq ela fica apertada de mais.  Uma camisinha distribuída pelo estado deveria ter pelo menos dois tamanhos,0,negative
Ano a vem vou sair de tudo do nugedis do cdd da bolsa do iff CHEGA CHEGAAAAAAAAAA,0,negative
Desde que eu sai do ifam nunca mais tinha sentido uma vontade ensurdecedora de me matas ksksks mas olha hoje  nesse exato momento kskskskskAAAAAAA,0,negative
Reclamar por  meses do Ifes E quando tenho férias quero ficar lá,0,negative
tô c as pernas doces de tanto dançar  meu joelho não aguenta abaixar  eu amo todo esse caos do iff,0,negative
a inscrição pros auxílios do iff começaram em MAIO e ainda resolveram adiar o resultado para final do mês que vem  co/fwTmwJIP,0,negative
percebi que sai do iff estressada e acabei descontando nele  to me sentindo um lixo,0,negative
Às aulas do ifes voltando e eu não fiz nada legal 😔,0,negative
    Não tem o melhor resultado.  O melhor resultado são os das escolas do IFES.  Meu deus que visão de educação vcs tem!!!! Preparar os jovens vai muito além da disciplina.,0,negative
Só de pensar que vou ficar um período um pouco longe do iff.  Vou colocar minha mente em ordem,0,negative
A única coisa boa do IFF foi as pessoas q conheci lá 🥹,0,negative
Porra tô delirando  fala que é por favor,0,negative
Se eu fizer o bafômetro juro que a maquininha explode,0,negative
quem diria que depois de dois dias seguidos atirada pelos puffs e sofás do iff (em todas as posições possíveis  e raramente confortáveis) me dariam uma dor nas costas desgraçada,0,negative
Lembrei de quando um professor do IFF mostrou putaria pra eu e meus amigos durante uma aula totalmente sem motivo e algum tempo depois ele foi denunciado pra coordenação por assédio.   Até hoje não sei oq fazer com essa informação.,0,negative
 Eu tenho tanta história maluca do IFF que dá pra passar horas contando,0,negative
Aluno mais fraco do IFF/Senai,0,negative
E eu que tomei duas vacinas pra ganhar .  pontos na matéria do iff  enfim a humilhação,0,negative
  no final só uma tem todos os prêmios big no grammy e um oscar kkkkkk sem contar q nem dl e nem gu chegou perto das units globais de bad guy no year end do ifpi,0,negative
 tem um na minha sala q só Deus na causa,0,negative
 eu reclamo do ifma estando no ifma  mesma vibe,0,negative
 lucas indo se matar depois disso,0,negative
odeio viado,0,negative
 estão te fazendo de palhaço,0,negative
n tenho paz do ifma nem nas férias,0,negative
 que desgraça véi  tava assistindo o jogo do ifg ai toda hora vinha um e puxava o meu braço,0,negative
 os estudantes do ifba se encontram em uma alegria absurda,0,negative
meus antigos professores do ifal recebia o salário e ja metia viagem pra nova iorque slc  vivem muito.,0,negative
último recesso de meio de ano que eu vou ter do ifba 😩,0,negative
Eu seria mt feliz se a cca do ifce me ajudasse e me respondesse no email essa caralha,0,negative
se algum dia eu reclamei da internet do ifal  não era eu  co/fRUdzKqCU,0,negative
as artes do ifal EM GERAL me deixa assim 😵😵😵😵😵,0,negative
Fui na rua min e vi metade dos professores do ifba batendo perna,0,negative
Grupo do concurso do estado: galera planejando fazer consignado assim q entrar.  Grupo do concurso do ifba: galera reclamando do plano de carreira federal.  Fica muito claro qual grupo a galera é da licenciatura e qual tem os bacharel sem noção do q é ser docente.,0,negative
esse povo do ifba que fica de ferias agora acho uma falta de respeito pq eu queria estar de férias agora mas nao to,0,negative
Longe do ifba até agosto  coisa boa dms  co/orIRpRQhk,0,negative
fui pra ufal jurando que seria melhor que o ifal  e lá não chega aos pés do ifal.  oh instituição ruinzinha triste viu,0,negative
