x,y_predito,sentimento
Especialização gratuita em Docência do IFMS abre  vagas  co/jpYhozmVWG,1,neutral
Não ironicamente eu gosto mais do ifb do que qualquer outra escola que eu tenha estudado,1,neutral
Quem bora pra festa do IFB?,1,neutral
hj vi a saga de diários de vampiro inteira na biblioteca do IFMG 😭😭😭😭😭,1,neutral
O Instituto oferece reforço escolar  com disciplinar militar  além de atividades esportivas e de musicalização para crianças e adolescentes.  Conta com a parceria das Forças Armadas  da UFMS e do IFMS e apoio de empresários.  Agora  está reivindicando também apoio do poder público.,1,neutral
Nosso informativo semanal já está disponível.  Leia as últimas notícias do IFMG:  co/hAMcCJBzq,1,neutral
Publicado o regulamento para a transição da gestão do IFMG.  Documento assinado pelo reitor Kléber Glória e pelo reitor eleito  Rafael Bastos  define protocolo que dá início às ações que irão culminar na mudança de gestão na Reitoria.  Saiba mais:  co/ErjEUmoIdM  co/XthBhEiWqN,1,neutral
Estiver hoje dia  /  como Representante Geral dos Estudantes do IFB e Militante do PT na inauguração do Centro de Formação Tecnológica (CFT) do Instituto Federal de Brasília no IFB Campus Estrutural que contou com a participação da Reitora Luciana  do IFB e do Diretor Geral.   co/OsJCsWUKy,1,neutral
Foto com várias autoridades na inauguração do Centro de Formação Tecnológica - CFT que contou com a Presença da Reitora do IFB a professora  e do Secretário de Educação Profissional e Tecnologia o professor  e do Embaixador da China Wang Zhiwei.   co/SdskgrQssK,1,neutral
Fotinha com a Militância do  e da  presente na Inauguração do Centro de Formação Tecnológica  - CFT do IFB Campus Estrutural.   co/qoWTqXs,1,neutral
wtf to recebendo email do IFMG como se ainda fosse aluno  é possivel eu estar matriculado ainda no IF e ao msm tempo em uma universidade?  co/kBeCMd,1,neutral
Fotinha com meu grande amigo Felipe do Ministério da Educação - MEC na inauguração do Centro de Formação Tecnológica - CFT do IFB Campus Estrutural nesta tarde do dia  de julho de .   co/SvdZQAtfus,1,neutral
 estudante de eventos do IFB campus Brasília😘,1,neutral
Fotinha com o Nosso Deputado Distrital  na Festa Junina do IFB Campus Riacho Fundo.   co/FOveljp,1,neutral
Conheça o Filipe Brison  primeiro aluno surdo do IFMG a se formar em Engenharia Elétrica e seu TCC sobre automação residencial para surdos.  Leia aqui:  co/keTQydnCJI #inclusão #ifmg #engenharia #tcc  co/RGcdCwjza,1,neutral
Queremos te ouvir! A Lei n.  . / está completando cinco anos em vigor e  por conta disso  as ouvidorias de todo o país estão participando da ª Maratona de Defesa dos Direitos dos Usuários de Serviços Públicos.  Mas você sabe o papel da Ouvidoria do IFMG? +  co/TvvUCQN,1,neutral
Além da Ouvidoria do IFMG  todos os campi possuem um ouvidor local para atender as demandas.  Acesse a plataforma  co/OkeVOY e registre sua manifestação:  co/ZskRikuKP.  Queremos te ouvir!   Saiba mais:  co/jqFFgmFU   #OuvidoriaIFMG #CGU #Ouvidoria,1,neutral
Restauradores de bens culturais pedem apoio para regulamentar profissão.  Audiência pública  na   contou com a participação do IFMG  que oferta o curso de Tecnologia em Conservação e Restauro no Campus Ouro Preto  co/xITeiwCdX  co/HCFiTJWL,1,neutral
Participando como Representante Geral dos Estudantes do IFB e Militante do PT / DF na ª Reunião Ordinária do Conselho de Ensino  Pesquisa e Extensão – CEPE  do Instituto Federal de Brasília – IFB onde sou membro Titular Discente dos Estudantes a Reunião ser deu hoje dia /.   co/AzwFVqkKA,1,neutral
ônibus corumbá - Ladario do ifms,1,neutral
 Cara eu queria MT ir tomar uma cerveja naquele boteco do Goku do lado do ifms tá ligada?,1,neutral
pq eh especificado no allianz q a carteirinha de estudante tem q ter a foto (ou a coisa virtual lá etc) mas o portal do estudante do ifb não tem a minha foto e eu não sei comk botaKKKKKKKKK vou me m,1,neutral
⚠️Quer continuar concorrendo a uma vaga nos cursos superiores do IFB?🚨Somente hoje   de julho  até às h  os candidatos interessados em permanecer na lista de espera do SiSU devem enviar a documentação para comprovação da reserva de vaga.   👉Confira:  co/DuvXMwL  co/kIYCiqdoA,1,neutral
📚🔍 Saiu a convocação para matrícula em segunda chamada do processo seletivo para os cursos técnicos do IFB! Não perde tempo! Separe a sua documentação e não perca os prazos! Seja bem-vinda (o) ao IFB! 🤩💚❤️ 👉Confira:  co/plKxQzE  co/VcoaVTsk,1,neutral
"""Olá  sou a Professora Débora do IFMS. . . "" ",1,neutral
  metade do IFB vai de base,1,neutral
🎓O Campus Governador Valadares do IFMG oferta  gratuitamente  o curso superior em Engenharia Ambiental e Sanitária.  Saiba mais em nosso site:  co/RnchqCIkf,1,neutral
Estiver hoje como Representante Geral dos Estudantes do IFB e também estava presente os Representantes dos Estudantes do IFPB no ° Congresso da UNE - União Nacional dos Estudantes realizado entre os dias  a  de julho de  no Ginásio Nilson Nelson  e também na UNB.   co/bwJKRBfhY,1,neutral
👩‍🏫👨‍🏫 Se você é docente da área de Inglês  chegou sua hora de fazer parte do IFB  hein? 💚❤️ As inscrições seguem até  de julho.   👉 Confira o edital:  co/CrtgyzMYwe  co/ZdzcnEkFy,1,neutral
Essa eu dedico aos alunos do IFB.  Grande abraço a todos.   co/TSlGHzSQT,1,neutral
Últimos dias de inscrição para cursos de graduação do IFMS  co/zvfeooExnv,1,neutral
Estiver hoje dia  de julho de   como Representante Geral dos Estudantes do IFB e Militante do PT na inauguração do Centro de Formação Tecnológica (CFT) do Instituto Federal de Brasília no IFB Campus Ceilândia.   co/fQJPLvFrO,1,neutral
📚 Novas instalações do Instituto Federal de Brasília  ✅ O Gov. Federal inaugurou oficialmente o Centro de Formação Tecnológica  o Laboratório de Pesquisa Aplicada e Prática Profissional e o Espaço do Estudante  as novas instalações do IFB.    SAIBA MAIS:  co/kowSrweZ  co/XYJfEVMSJ,1,neutral
 co/mISnrgdjT,1,neutral
CAPRICÓRNIO: Semana nova e sua vida entrará em um novo capítulo de transformações positivas e ganhos do lado financeiro  e. . . (continua+),1,neutral
esqueci o aniversário do meu irmão 🤦‍♂️,1,neutral
co/nTbOyEKnRc,1,neutral
Mal posso esperar pra escrever au de vampiro com as fotos do evento de hj,1,neutral
co/mQzauKCVs,1,neutral
não supero o final do ep  de tsitp,1,neutral
 Eu tenho certeza,1,neutral
 Eu te deu tchau  ?,1,neutral
 Eu tenho o mesmo nome que a cachorrinha do Bé?!?!,1,neutral
 Não sei,1,neutral
 Sendo sincero  o único perfume que eu sinto olhando pra ti é daquele perfume q tu usava quando a gente fazia curso de dança  ficou bem marcado na minha memória,1,neutral
 Dava  nss lembro até do cheiro ainda,1,neutral
Eu sou bottom  co/awTJVOxb,1,neutral
"Maitê : - ""isso é a magia do ménage""",1,neutral
 Concordo com alguns,1,neutral
 Daq a pouco n vai tá cheirando só perfume,1,neutral
Já aconteceu comigo com um professor do IFSC. . . . .,1,neutral
a lenda do ifsul termino foi???,1,neutral
Galera do ifpr  se achar uma mochila verde neon da Nike  do primeiro período de contabeis  favor entrar em contato cmg pq é minha KKKKKKKKK Ficou na sala  e eu sei lá aonde foi parar  fui procurar dnv lá e n tava,1,neutral
 Tem que ter um desses no Caaso,1,neutral
 Posso meter isso na minha bio?,1,neutral
 Olha minha bio agora kkkk,1,neutral
Galeria Cultural do IFSul  em Pelotas  recebe a exposição Origens  com visitas até o dia  de agosto  Abertura oficial da exposição ocorreu na segunda  dia   na Reitoria do IFSul  ( co/xcJVVPJ),1,neutral
Sim eu sou gótica como adivinhou  co/KgjglPu,1,neutral
 metade do ifsc aí,1,neutral
 Eu tenho uma teoria de que os cursos do IFSC são do tipo de curso que você entra achando que é algo e não é bem assim  Além disso  por ser pouco concorrido  entra um pessoal que não sabe muito como estudar (eu),1,neutral
✨️ A Reitora do IFNMG  Joaquina Nobre  apoia a campanha de inclusão da reestruturação da carreira e recomposição salarial dos Técnico-Administrativos em Educação (TAEs) no Plano Plurianual (PPA)! Apoie também essa ideia:  co/jkKdADF #TAESNOPPA  co/JpsA,1,neutral
 Exatamente  principalmente se considerar esse gato não binário (oq é verdade),1,neutral
 O açaí tá basicamente assim:  co/TouooISa,1,neutral
 A Samael é basicamente um anjo da pra chamar de qualquer pronome,1,neutral
Vou fazer um rpg de Digimon,1,neutral
  Eu literalmente compro camisinha GG  camisinha normal não tem grossa pra eu usar eu já tentei várias vezes. . .  Pergunta pra tua mãe isso,1,neutral
 caralho você é do ifes,1,neutral
 Uma passarela na frente do ifpa,1,neutral
 E no final eu viro professor do iff,1,neutral
pessoas do iff são  ou ,1,neutral
scrr a minha prof do ifro estava no evento e ainda nos cumprimentamos,1,neutral
Meus amigos do ifes  to de olho   👀  co/BuSDcgj,1,neutral
