x,y_predito,sentimento
saudade almoço do ifb,2,positive
Muito bom rever os professores do ifb,2,positive
esse uniforme do IFB é muito lindo  pqp,2,positive
Hoje como Representante Geral dos Estudantes do IFB  estiver a honra de receber  a deputada federal   e o articulador político e institucional do movimento “Todos pela Educação”    na inauguração do CFT do IFB Campus Ceilândia.  ,2,positive
Agradeço muito a professora e Reitora  e também o professor Ricardo Frangiosi de Moura por toda dedicação ao longo da minha trajetória no IFB desde  onde eu comecei no IFB Campus Ceilândia foi uma gestão muito amiga e trabalhadora para nós estudante do IFB.  ,2,positive
Os estudantes do ifsul Venâncio Aires  os de agora e os de outros tempos  mostram que estudar no IF é algo bem exigente! Mas vale muito a pena. .,2,positive
Que alegria ver a volta da festa junina do IFSul Campus Venâncio Aires! Os alunos do quarto ano tiveram a única oportunidade.  Coisas de tempos pandêmicos ! Mas a felicidade foi encontrar ex-alunos  com abraços de saudade.   Marquei  e  mas foram tantos . . .,2,positive
obviamente a  também estava presente no Roadsec com a Giovanna Moeller (que ministrou uma apresentação INCRÍVEL) junto do pessoal do IFSP de Votuporanga! ,2,positive
Caralho tive um dos sonos mais tops da minha vida  mais tô com muito frio  mais foi um sonin muito bom,2,positive
pq toda forms do ifsc é simplesmente fodastica,2,positive
Vi o vídeo da homenagem de Clovis  simplesmente bateu uma nostalgia da época do Ifes,2,positive
saí do iff mas o iff não sai de mim   amo estar presente  principalmente em festinhas maravilhosas (faz o Eller,2,positive
simplesmente a melhor festa do iff até hj,2,positive
"""a pq vc n sei oq"" fds prr eu passei em uma prova do IFAM  filho de cristo 🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿",2,positive
A calourada era do iff mas quem dominou foi a estácio,2,positive
glr do iff eu topo uma resenha fechada com tudo liberado,2,positive
A avenida principal do IFPA-Castanhal é cheia de jambeiros e fica a coisa mais linda na época de flor,2,positive
meu deus n vejo a hora de ser residente do IFF!!!!!! Aaaaaaa,2,positive
nunca pensei q ia sentir sdds do ifam,2,positive
Caraca  parece o Campus do IFS.  Saudades de encontrar ele assim! 🩷,2,positive
 já é um avanço,2,positive
Pergunta genuína da Regifinha para o nosso TCC ~  Se tivéssemos uma lojinha de com coisinhas/brindes  o que vocês gostariam que vendêssemos?. . .    co/TMXEovOa,2,positive
realmente eu estava certo,2,positive
 vou estar bem lindinho  co/FNQKcTjYB,2,positive
só queria meu cabelo grande e cacheado de volta 😭😭😭😭 VOLTA VIDA,2,positive
que saudade do ifal,2,positive
a categoria é: melhor turma do ifba👇🏻  co/AUinFZX,2,positive
