polarity,text
0,pq ngm chuta os fios do moodle do ifg
0,(ifg não chega nem aos pés)
2,"aí ai  gente a ester é artista!!!!  mais uma artista na família não, é a mais sensível das irmãs e com toda certeza a mais mimada, afinal é a caçula.  ela faz parte de um grupo de arte do ifg e meu deus eles produziram um espetáculo tão lindo! profundo e sensível."
2,@ifg_goias ho sr.minha filha e funcionária do ifg. gratidao por tudo.
0,"que inferno, te odeio ifg"
0,esse site do ifg é ruim misericórdia
0,"ja consegui entender q o ifg não quer q eu estude lá, pq nao tem lógica meu nome não aparecer na lista sendo q fiz minha inscrição, a prova sendo agr dia 7 e fui entrar hj, ainda bem, pq ia pro local da prova atoa"
1,"se eu aprendesse tudo é  primeira, meus caros, não precisava de 6 anos de curso, 1 ano de ifg, 6 anos de formação especializada, uma vida de aprendizagem. mas há quem tenha poderes que eu não tenha."
1,acho que terei minha primeira reprovaÃ§Ã£o no ifg kkk
0,"n aguento mais a burocracia do ifg. eu só queria minha matrícula nas disciplinas, só isso"
0,quarto dia do mês e eu gostaria de saber exatamente quando o ifg tem pretensão de pagar meu auxílio e minha bolsa   estou no total modo revoltada financeira-academicamente da @_kraljic
1,os cara entrou no telegram pra mandar tarefa  para ifg para pfv
0,"whatsapp, instagram, facebook caíram e pra ficar perfeito o moodle ifg podia cair também."
0,só 4 trabalhinhos pra essa semana vsf ifg
0,de repente todo mundo quer ifg? meu coração arde em ódio aff
1,rt @burnoceswtf: dgs explica me la porque é que tenho de estar de máscara nas aulas mas quando vou ao urban posso cuspir na boca da maria leonor ? covid não sai à noite?
0,"o site do ifg me deixa mais perdida que cego em tirotei, eu leio os trem e fico ??????? que porra é essa"
0,"se eu n tô entendendo nem como funciona o processo seletivo do ifg, imagina na hr da prova kkkkkkkk, eu só passo no milagre do senhor"
2,formada em economia na ifg foi o augeeeeeeee!
1,teve uma vez que rolou um mal entendido no vestiário masculino do ifg   descobri que eu tive uma fama de olhar as pessoas peladas no vestiário  véi  sério  ter rahu na 4 é uma porra kkkkkkkkkkk sempre vou ser mal falado na terra natal por problemas de entendimento
1,uma menina do ifg me mandou email falando que leu meus trabalhos e pediu orientação   chorei 
0,esse ifg conseguiu enrolar todo calendário e de brinde não volta as aulas
1,rt @filipaqc: preciso de os horários tenho uma vida toda pendente!
1,@visioniife eu estudo no ifg amg
2,perfeitas lindas viciantes https://t.co/naj1dwy42t
2,dos melhores anos da minha vida:  -tirei carta de mota  -acabei o secundÃ¡rio no quadro de honra -tirei a carta de carro  -fiz 19 anos  -recebi um carro  -trabalhei o verÃ£o inteiro para ter o meu dinheiro -estou com o amor da minha vida  -estou na faculdade que sonhei
1,deus queira que me mudem de turma
2,"filmaço, e melhor ainda é conhecer esse projeto de cinema, debate e crítica social, um projeto de extensão popular do @ifg_goias nos campus @ifg_goiania e if campus goiânia oeste  sessão/debate gratuitos e com certificação,acesso pelo instagram @cineclubeismael   @gloriamariaujc https://t.co/abpz4nkzln"
0,cansada demais desse ifg
0,paga minha bolsa paga minha bolsa pf eu imploro ifg
1,um dos casais mais fofos que eu conheço começaram na faculdade na turma de química agroindustrial que entrei em 2010 no ifg e agora eles tem um bebe mais fofo ainda 
2,sou grato por estudar no ifg
0,ifg eu te odeio se eu pudesse eu enfiava uma tora no meio do seu cu chutava sua avó botava fogo no seu hamster inundava sua casa esfaqueava sua irmãzinha estrangulava seu pai vendia a sua alma pro diabo e ainda tossia na sua cara
1,"eu sou tão fracassado que eu acabei de desistir da ideia de desistir de estudar no ifg. maluco, não sei oq é mais difícil, entrar ou sair"
0,@imattheusss eu já paguei essa multa tem um ano e meio e eles seguem me mandando esse e-mail   quase saindo do ifg e até hoje isso
