polarity,text
0,o instituto federal esta me matando
0,o que voce acha de instituto federal é eu acho que o cpii é muito maior https://t.co/mhxcq8oepb
1,amigos vou fazer prova no instituto federal no final de novembro me desejem sorte quero passar
1,"@pedro33266971 por aaii, sou do instituto federal"
0,"amanhã tem instituto federal dnv, q vontade de me jogar na frente de um carro"
2,@zareisalves instituto federal recrutou bem 
1,@allstarasgado o pv com os professores do instituto federal goiano
1,@borgesgtv instituto federal ksksksksks. é a escola que eu estudo
1,não sei se foi por ter estudado num sistema diferente do instituto federal mas eu não consigo ver o motivo de tanto choro https://t.co/zwwtvwxblx
0,"ava em manutenção instituto federal, sério?"
1,nesse feriado eu queria sair mas por cansaço mental eu só vou acender minha vela em homenagem a nossa senhora aparecida e desligar o celular hahahaha muito obrigada por tudo instituto federal
1,gente do céu alguém aqui faz faculdade em algum instituto federal (if) pra me ajudar com uma questão de transferência??????
0,pq a poha do instituto federal vai ser por prova?
2,"todo dia eu sou bombardeada por saudades do instituto federal de educação, ciência e tecnologia de são paulo "
1,"não sendo suficiente atrapalhar na construção de escolas municipais, agora pretende acabar com um instituto federal..."
0,cade minha bolsa pelo amor de deus eu nao vou receber nunca instituto federal mec sei la quem eu preciso pagar conta
0,instituto federal é patético demais n tem como
0,"aí q decepção, pq instituto federal"
2,"eu prefiro o instituto federal, mas se eu conseguir essa vaga eu to no lucro"
1,"um idiota falando comigo sobre ser professora de educação infantil e ele fazendo engenharia.   técnico em informática no ifes e especialista em informática e em multimeios didáticos pelo mesmo instituto federal. são duas pós graduações diferentes. sem tempo, irmão "
0,instituto federal de pernambuco vc me paga
1,"@yurisobral41 @e_n_o_a @sensocrtico1 bglh corrigiu no automático, mas tenho não confia, estudo em um instituto federal mas o ensino fundamental eu não fiz, passei voando, milagre"
0,o instituto federal ta me matando 
0,vc me paga instituto federal https://t.co/waomvp9nqx
1,"não tenho namorado, n tenho muitos amigos, mal saio de casa. nem um emprego eu tenho? só uma pessoa muito fracassada pra me invejar em algum sentido pq sem condições, a única coisa relevante é que estudo em instituto federal mas é algo que literalmente essas pessoas poderiam ter"
1,"@maiihcachos3 instituto federal, amg. juro, é um vale gay e nem é brincadeira"
